"objectid","distance_to_city_hall","distance_to_nearest_transit","distance_to_nearest_hospital","distance_to_nearest_school","distance_to_nearest_park","distance_to_nearest_water","distance_to_nearest_bikelane","distance_to_I676","nhoods_name","landuse","LPSS_PER1000","HPSS_PER1000","crime_nn1","crime_nn2","crime_nn3","crime_nn4","crime_nn5"
578614307,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578614308,1466.42183798844,266.509839524568,893.484658832698,736.334347095846,532.219861528255,4608.37982287736,504.31707456016,556.305779174184,"CENTER_CITY","Commercial Business/Professional",44.72605293,6.61572866,2.88442387068586,18.8343201436402,40.8445050553963,54.1892043211746,65.7235280420533
578613597,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578613598,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578614603,4117.10816288079,1041.48506051889,3060.69340100371,443.317494669029,783.81388240488,5830.07686823727,60.4988282877544,1948.80115379929,"WEST_POPLAR","Residential Medium",32.6549929,4.02271652,15.4162385959301,18.2289713539339,44.0144166503278,59.0829675289673,69.0084993667999
578612441,3130.36278306599,833.296746080539,2062.23308634115,795.401551561216,109.783485916016,5356.43775675782,65.9391035336147,1034.42727162008,"CALLOWHILL","Commercial Business/Professional",32.6549929,4.02271652,106.276227713516,118.116219936782,122.092713123497,140.058059141605,165.872689541882
578613174,3475.82456037528,339.74068776832,2750.53974907177,1093.96702419013,171.999660269998,3599.45787612876,162.623843161095,457.894159456032,"OLD_CITY","Residential High",44.72605293,6.61572866,4.04511420677271,79.010624431584,117.668032948905,141.915439857591,180.623462522835
578613405,2257.15130356046,1323.15134565046,2215.96916106411,762.630198367228,210.559792388632,5178.09953594486,534.779538199799,250.969337443416,"CHINATOWN","Residential High",44.72605293,6.61572866,3.07228498139746,61.003450602149,84.3821323518839,98.2337508985723,109.756371050285
578614711,2522.28579915103,1154.24831999129,1939.40075612869,799.827281141513,247.817704940775,5583.89951710854,334.421315135902,282.516772168195,"CALLOWHILL","Residential High",32.6549929,4.02271652,88.3246324131586,91.9736114616005,94.4467031655843,97.0831925228808,102.054153037632
578611312,2432.44016944734,722.772642183245,2030.45802463515,907.970204589406,640.654551964647,4531.76358187463,89.6358854314421,676.697656415501,"CHINATOWN","Residential High",44.72605293,6.61572866,92.571039379866,102.727055070627,111.59877876405,116.835925578611,121.109562434558
